competition;date;time;opponent;source_url
Arkema Première Ligue;6 septembre;;Dijon FCO;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;27 septembre;;AS Saint-Etienne;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;18 octobre;;Olympique de Marseille;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;22 novembre;;Montpellier;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;6 décembre;;Le Havre;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;14 janvier;;FC Nantes;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;17 janvier;;OL Lyonnes;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;7 février;;PSG;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;11 mars;;RC Strasbourg;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;28 mars;;FC Fleury 91;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;6 mai;;RC Lens;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
Arkema Première Ligue;La programmation officielle des matchs d'Arkema Première Ligue du Paris FC mise à jourparisfc.fr;;;https://www.paris.fr/evenements/matchs-du-paris-fc-pour-la-saison-2025-2026-le-calendrier-complet-90428
