competition;date;time;opponent;source_url
Ligue 1;22 août;20h45;Angers SCO;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;14 septembre;;RC Lens;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;28 septembre;;AJ Auxerre;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;19 octobre;;Strasbourg;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;2 novembre;;OGC Nice;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;23 novembre;;Le Havre;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;7 décembre;;Stade Rennais;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;4 janvier;;Paris FC;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;18 janvier;;Lille;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;8 février;;Olympique de Marseille;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;22 février;;FC Metz;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;8 mars;;AS Monaco;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;15 mars;;FC Nantes;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;5 avril;;Toulouse;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;19 avril;;Olympique Lyonnais;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;3 mai;;Lorient;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue 1;9 mai;;Stade Brestois;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue des Champions;4 novembre;;Bayern Munich;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue des Champions;26 novembre;;Tottenham;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue des Champions;28 janvier;;Newcastle United;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue des Champions;Tous les matchs du Paris Saint;Germainwww.psg.fr;;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
Ligue des Champions;Le calendrier complet de la section féminine du PSGwww.psg.fr;;;https://www.paris.fr/evenements/paris-saint-germain-le-calendrier-foot-2025-2026-des-matchs-a-domicile-90939
