competition;date;time;opponent;source_url
Top 14;6 septembre;;Montauban;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;27 septembre;;Bordeaux-Bègles;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;11 octobre;;La Rochelle;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;25 octobre;;Montpellier;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;22 novembre;;Toulon;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;20 décembre;;Racing 92;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;3 janvier;;Castres;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;14 février;;Toulouse;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;28 février;;Perpignan;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;28 mars;;Clermont;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;25 avril;;Pau;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;(date non arrêtée);;Lyon;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Top 14;30 mai;;Bayonne;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Challenge Cup;6 décembre;14h;Cardiff;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
Challenge Cup;10 janvier;14h;Exeter;https://www.paris.fr/evenements/stade-francais-paris-le-calendrier-complet-des-matchs-a-domicile-saison-2025-2026-90960
