latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.33,26.0,0,GMT,GMT

time,precipitation (mm),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),cloud_cover (%)
2025-11-01T00:00,0.00,14.5,77,15.5,100
2025-11-01T01:00,0.00,13.8,80,13.6,100
2025-11-01T02:00,0.00,13.7,82,12.9,100
2025-11-01T03:00,0.00,14.4,80,17.7,100
2025-11-01T04:00,0.40,14.4,83,17.6,100
2025-11-01T05:00,0.00,14.9,83,15.9,100
2025-11-01T06:00,0.10,15.9,79,15.5,100
2025-11-01T07:00,0.00,16.4,78,16.6,100
2025-11-01T08:00,0.00,16.4,79,13.3,100
2025-11-01T09:00,0.20,16.1,81,14.1,100
2025-11-01T10:00,2.60,13.6,77,17.2,100
2025-11-01T11:00,0.30,14.4,69,9.7,100
2025-11-01T12:00,0.00,14.7,79,14.4,100
2025-11-01T13:00,0.00,14.7,76,16.6,100
2025-11-01T14:00,0.00,15.5,69,20.2,91
2025-11-01T15:00,0.00,15.7,69,16.1,66
2025-11-01T16:00,0.00,15.2,72,15.7,100
2025-11-01T17:00,0.00,14.6,76,12.6,3
2025-11-01T18:00,0.00,13.7,80,12.7,100
2025-11-01T19:00,0.00,13.5,80,12.8,100
2025-11-01T20:00,0.00,13.2,84,13.0,100
2025-11-01T21:00,0.00,13.1,83,15.5,0
2025-11-01T22:00,0.00,12.8,83,15.1,0
2025-11-01T23:00,0.00,12.5,84,15.9,0
2025-11-02T00:00,0.00,13.0,81,17.2,3
2025-11-02T01:00,0.00,12.6,79,13.0,0
2025-11-02T02:00,0.00,11.8,84,11.0,100
2025-11-02T03:00,0.00,11.4,88,10.4,100
2025-11-02T04:00,0.00,11.1,88,11.1,100
2025-11-02T05:00,0.00,11.0,88,14.1,100
2025-11-02T06:00,0.00,11.1,87,9.8,100
2025-11-02T07:00,0.00,11.2,89,13.7,100
2025-11-02T08:00,0.00,11.7,87,15.2,100
2025-11-02T09:00,0.00,12.7,77,15.3,100
2025-11-02T10:00,0.00,12.9,77,17.8,100
2025-11-02T11:00,0.20,13.3,73,21.1,67
2025-11-02T12:00,0.00,13.9,66,23.8,99
2025-11-02T13:00,0.50,13.4,71,23.6,100
2025-11-02T14:00,0.70,13.5,58,21.3,21
2025-11-02T15:00,0.00,13.5,65,18.1,0
2025-11-02T16:00,0.00,13.4,60,17.1,100
2025-11-02T17:00,0.00,12.9,63,12.2,0
2025-11-02T18:00,0.00,11.9,67,15.3,0
2025-11-02T19:00,0.00,11.3,70,11.2,0
2025-11-02T20:00,0.00,10.9,73,10.2,1
2025-11-02T21:00,0.00,10.7,71,12.7,0
2025-11-02T22:00,0.00,10.1,76,10.6,0
2025-11-02T23:00,0.00,9.8,80,10.2,0
2025-11-03T00:00,0.00,9.8,86,9.7,100
2025-11-03T01:00,0.00,9.8,89,8.1,81
2025-11-03T02:00,0.00,9.2,89,7.2,2
2025-11-03T03:00,0.00,8.8,88,4.8,89
2025-11-03T04:00,0.00,7.8,92,6.9,88
2025-11-03T05:00,0.00,8.0,93,6.9,78
2025-11-03T06:00,0.00,8.8,93,10.3,100
2025-11-03T07:00,0.00,10.0,92,7.8,100
2025-11-03T08:00,0.00,9.7,97,10.8,100
2025-11-03T09:00,0.00,11.1,93,8.9,100
2025-11-03T10:00,0.00,12.7,83,15.2,25
2025-11-03T11:00,0.00,13.9,79,18.8,95
2025-11-03T12:00,0.00,14.2,83,15.8,100
2025-11-03T13:00,0.00,14.2,84,16.8,91
2025-11-03T14:00,0.00,14.8,81,15.4,75
2025-11-03T15:00,0.00,15.5,73,18.4,67
2025-11-03T16:00,0.10,15.2,78,12.1,100
2025-11-03T17:00,0.00,14.7,78,14.7,19
2025-11-03T18:00,0.00,14.0,81,12.9,0
2025-11-03T19:00,0.00,13.4,83,11.6,0
2025-11-03T20:00,0.00,13.1,86,12.4,95
2025-11-03T21:00,0.00,13.2,83,14.0,0
2025-11-03T22:00,0.00,12.5,87,11.4,0
2025-11-03T23:00,0.00,12.7,87,12.1,53
2025-11-04T00:00,0.00,13.2,88,13.4,78
2025-11-04T01:00,0.00,12.6,87,9.3,100
2025-11-04T02:00,0.00,11.4,90,8.7,100
2025-11-04T03:00,0.00,10.8,91,8.2,100
2025-11-04T04:00,0.00,10.2,91,9.3,100
2025-11-04T05:00,0.00,9.7,91,9.4,100
2025-11-04T06:00,0.00,9.6,88,8.9,100
2025-11-04T07:00,0.00,9.5,88,9.2,100
2025-11-04T08:00,0.00,9.5,89,11.5,100
2025-11-04T09:00,0.00,10.6,82,12.1,100
2025-11-04T10:00,0.00,11.8,76,11.8,100
2025-11-04T11:00,0.00,13.6,70,10.7,100
2025-11-04T12:00,0.00,15.6,62,11.8,100
2025-11-04T13:00,0.00,16.8,55,12.7,100
2025-11-04T14:00,0.00,17.8,51,12.9,100
2025-11-04T15:00,0.00,18.2,52,12.8,100
2025-11-04T16:00,0.00,17.9,57,13.1,100
2025-11-04T17:00,0.00,16.7,67,11.8,95
2025-11-04T18:00,0.00,15.7,71,11.1,100
2025-11-04T19:00,0.00,15.4,69,12.6,100
2025-11-04T20:00,0.00,15.0,67,12.9,99
2025-11-04T21:00,0.00,14.7,65,13.5,0
2025-11-04T22:00,0.00,14.1,69,15.1,89
2025-11-04T23:00,0.00,13.3,73,12.7,0
2025-11-05T00:00,0.00,12.8,73,11.3,99
2025-11-05T01:00,0.00,12.6,75,10.7,100
2025-11-05T02:00,0.00,12.2,77,9.7,0
2025-11-05T03:00,0.00,12.0,76,10.6,1
2025-11-05T04:00,0.00,11.6,73,10.3,93
2025-11-05T05:00,0.00,11.4,70,10.3,98
2025-11-05T06:00,0.00,11.5,72,10.2,4
2025-11-05T07:00,0.00,10.8,72,10.7,100
2025-11-05T08:00,0.00,11.6,65,11.3,100
2025-11-05T09:00,0.00,12.8,61,13.1,72
2025-11-05T10:00,0.00,14.7,54,13.9,100
2025-11-05T11:00,0.00,16.7,49,12.8,100
2025-11-05T12:00,0.00,17.9,47,8.1,100
2025-11-05T13:00,0.00,18.5,49,11.8,100
2025-11-05T14:00,0.00,18.5,52,13.8,100
2025-11-05T15:00,0.00,18.1,53,15.7,100
2025-11-05T16:00,0.00,17.8,59,16.0,100
2025-11-05T17:00,0.00,17.6,58,14.3,100
2025-11-05T18:00,0.00,16.8,62,11.6,100
2025-11-05T19:00,0.00,16.0,65,14.7,100
2025-11-05T20:00,0.00,15.3,69,16.4,100
2025-11-05T21:00,0.00,14.9,69,10.2,100
2025-11-05T22:00,0.00,14.6,71,11.3,100
2025-11-05T23:00,0.00,14.0,77,9.9,100
2025-11-06T00:00,0.00,14.1,78,11.2,100
2025-11-06T01:00,0.00,13.7,78,9.9,100
2025-11-06T02:00,0.00,13.4,78,10.6,100
2025-11-06T03:00,0.00,13.3,77,7.6,100
2025-11-06T04:00,0.00,12.9,78,9.7,100
2025-11-06T05:00,0.00,12.9,77,9.1,100
2025-11-06T06:00,0.00,13.9,74,7.8,100
2025-11-06T07:00,0.00,13.9,75,7.7,100
2025-11-06T08:00,0.00,15.2,72,7.9,100
2025-11-06T09:00,0.00,15.3,77,7.7,100
2025-11-06T10:00,0.00,14.7,80,10.2,100
2025-11-06T11:00,0.50,14.5,86,4.8,100
2025-11-06T12:00,1.90,15.6,88,13.5,100
2025-11-06T13:00,1.90,16.2,85,8.9,100
2025-11-06T14:00,0.00,16.0,83,6.6,100
2025-11-06T15:00,0.00,15.4,86,6.6,100
2025-11-06T16:00,0.00,15.5,83,7.8,100
2025-11-06T17:00,0.00,15.2,83,8.9,100
2025-11-06T18:00,0.00,14.9,85,7.1,100
2025-11-06T19:00,0.00,14.7,84,8.2,100
2025-11-06T20:00,0.00,14.4,85,6.4,100
2025-11-06T21:00,0.00,13.9,88,7.6,0
2025-11-06T22:00,0.00,13.1,90,7.4,90
2025-11-06T23:00,0.00,12.6,90,6.6,57
2025-11-07T00:00,0.00,12.2,91,8.4,13
2025-11-07T01:00,0.00,11.4,93,8.9,7
2025-11-07T02:00,0.00,11.1,93,8.9,26
2025-11-07T03:00,0.00,10.7,93,9.5,30
2025-11-07T04:00,0.00,10.0,94,6.1,91
2025-11-07T05:00,0.00,9.5,96,8.0,100
2025-11-07T06:00,0.00,10.3,92,9.3,100
2025-11-07T07:00,0.00,10.7,91,6.9,100
2025-11-07T08:00,0.00,11.1,91,7.5,100
2025-11-07T09:00,0.00,11.6,90,11.4,100
2025-11-07T10:00,0.00,13.1,88,11.6,100
2025-11-07T11:00,0.00,13.8,84,11.0,100
2025-11-07T12:00,0.00,14.2,82,10.9,100
2025-11-07T13:00,0.00,14.3,81,10.9,100
2025-11-07T14:00,0.00,15.1,75,12.7,100
2025-11-07T15:00,0.00,14.6,79,11.2,100
2025-11-07T16:00,0.00,14.7,78,9.1,100
2025-11-07T17:00,0.00,14.7,79,9.1,1
2025-11-07T18:00,0.00,13.7,83,8.0,13
2025-11-07T19:00,0.00,13.5,83,8.1,0
2025-11-07T20:00,0.00,13.1,85,8.6,0
2025-11-07T21:00,0.00,12.9,88,9.4,0
2025-11-07T22:00,0.00,12.4,90,8.2,0
2025-11-07T23:00,0.00,12.0,89,6.5,44
2025-11-08T00:00,0.00,10.9,91,7.4,0
2025-11-08T01:00,0.00,11.1,91,6.9,100
2025-11-08T02:00,0.00,10.7,92,8.1,96
2025-11-08T03:00,0.00,10.2,91,7.1,100
2025-11-08T04:00,0.00,9.2,95,6.6,63
2025-11-08T05:00,0.00,9.3,98,7.1,100
2025-11-08T06:00,0.00,10.1,95,5.3,100
2025-11-08T07:00,0.00,10.7,91,5.0,100
2025-11-08T08:00,0.00,11.0,89,4.4,100
2025-11-08T09:00,0.00,12.0,86,1.9,100
2025-11-08T10:00,0.00,12.7,84,0.5,100
2025-11-08T11:00,0.00,13.4,84,3.3,100
2025-11-08T12:00,0.00,13.6,87,7.0,100
2025-11-08T13:00,0.10,13.6,87,7.2,100
2025-11-08T14:00,0.00,14.4,83,5.6,100
2025-11-08T15:00,0.00,14.8,79,6.9,100
2025-11-08T16:00,0.00,14.8,78,6.9,100
2025-11-08T17:00,0.00,14.7,75,9.4,100
2025-11-08T18:00,0.00,13.6,78,9.2,100
2025-11-08T19:00,0.00,12.7,82,6.6,100
2025-11-08T20:00,0.00,12.1,85,9.3,100
2025-11-08T21:00,0.00,11.9,86,9.4,99
2025-11-08T22:00,0.00,11.0,88,7.4,9
2025-11-08T23:00,0.00,10.4,90,7.2,0
2025-11-09T00:00,0.00,10.3,90,6.2,37
2025-11-09T01:00,0.00,9.4,89,5.5,4
2025-11-09T02:00,0.00,8.4,93,6.3,26
2025-11-09T03:00,0.00,7.9,94,6.1,33
2025-11-09T04:00,0.00,7.6,95,6.6,21
2025-11-09T05:00,0.00,7.5,95,5.5,23
2025-11-09T06:00,0.00,8.1,92,4.8,95
2025-11-09T07:00,0.00,8.4,91,4.0,91
2025-11-09T08:00,0.00,8.9,90,4.2,99
2025-11-09T09:00,0.00,9.4,89,4.3,97
2025-11-09T10:00,0.00,10.3,87,4.3,69
2025-11-09T11:00,0.00,11.1,84,5.3,74
2025-11-09T12:00,0.00,11.8,81,6.8,71
2025-11-09T13:00,0.00,12.1,79,7.8,91
2025-11-09T14:00,0.00,12.2,77,8.0,79
2025-11-09T15:00,0.00,12.0,78,9.9,100
2025-11-09T16:00,0.00,11.4,79,9.9,100
2025-11-09T17:00,0.00,11.0,80,9.7,100
2025-11-09T18:00,0.00,10.7,82,10.1,100
2025-11-09T19:00,0.00,10.5,83,11.5,100
2025-11-09T20:00,0.00,10.3,84,10.6,100
2025-11-09T21:00,0.00,10.2,85,9.0,100
2025-11-09T22:00,0.00,9.8,85,8.8,100
2025-11-09T23:00,0.00,9.3,89,9.2,100
2025-11-10T00:00,0.00,8.7,93,10.3,100
2025-11-10T01:00,0.00,7.8,98,10.6,100
2025-11-10T02:00,0.00,7.4,98,10.0,100
2025-11-10T03:00,0.00,7.3,98,9.8,100
2025-11-10T04:00,0.00,7.1,96,9.8,100
2025-11-10T05:00,0.00,6.9,95,10.7,100
2025-11-10T06:00,0.00,7.0,93,10.1,100
2025-11-10T07:00,0.00,7.6,94,13.5,100
2025-11-10T08:00,0.20,7.6,94,15.5,100
2025-11-10T09:00,0.30,7.7,96,18.0,100
