time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),apparent_temperature (°C),rain (mm)
2025-09-01T00:00,16.0,83,0.00,6.7,3,1001.7,97,16.1,0.00
2025-09-01T01:00,15.7,86,0.00,9.7,3,1002.5,91,15.4,0.00
2025-09-01T02:00,15.2,90,0.00,8.3,2,1002.7,71,15.1,0.00
2025-09-01T03:00,15.1,89,0.00,7.2,3,1002.4,100,15.2,0.00
2025-09-01T04:00,15.0,89,0.00,8.3,3,1002.5,100,14.8,0.00
2025-09-01T05:00,14.6,90,0.00,9.4,1,1002.9,36,14.2,0.00
2025-09-01T06:00,15.1,87,0.00,8.7,3,1002.6,81,14.8,0.00
2025-09-01T07:00,15.4,85,0.00,14.0,3,1003.1,98,14.3,0.00
2025-09-01T08:00,16.1,82,0.00,12.4,3,1002.9,100,15.2,0.00
2025-09-01T09:00,17.9,73,0.00,12.4,3,1003.0,100,17.1,0.00
2025-09-01T10:00,18.8,66,0.00,14.2,2,1002.9,61,17.4,0.00
2025-09-01T11:00,19.2,68,0.80,14.3,53,1003.0,39,18.2,0.80
2025-09-01T12:00,20.1,68,1.10,11.9,55,1002.3,80,19.6,1.00
2025-09-01T13:00,20.8,57,0.00,20.5,3,1002.5,100,18.4,0.00
2025-09-01T14:00,22.0,51,0.00,16.7,1,1001.9,33,20.0,0.00
2025-09-01T15:00,22.4,49,0.00,18.2,3,1001.1,97,20.1,0.00
2025-09-01T16:00,20.2,57,0.00,22.8,3,1002.2,100,17.3,0.00
2025-09-01T17:00,19.6,63,0.00,16.8,0,1001.9,0,17.9,0.00
2025-09-01T18:00,19.2,68,0.00,13.6,3,1002.2,87,18.2,0.00
2025-09-01T19:00,17.8,80,0.30,14.0,51,1003.4,100,17.1,0.40
2025-09-01T20:00,16.7,79,2.00,3.1,61,1003.4,97,17.2,2.40
2025-09-01T21:00,16.5,71,0.00,7.3,3,1004.7,100,15.9,0.00
2025-09-01T22:00,16.3,77,0.00,9.0,3,1004.5,97,15.7,0.00
2025-09-01T23:00,15.7,82,0.00,10.8,3,1004.8,99,14.9,0.00
2025-09-02T00:00,15.1,83,0.00,9.0,0,1004.5,0,14.5,0.00
2025-09-02T01:00,14.6,87,0.00,11.7,3,1005.0,89,13.7,0.00
2025-09-02T02:00,14.3,88,0.00,9.4,0,1004.6,13,13.7,0.00
2025-09-02T03:00,14.1,86,0.00,8.9,1,1004.4,43,13.4,0.00
2025-09-02T04:00,13.7,87,0.00,10.0,3,1004.7,95,12.8,0.00
2025-09-02T05:00,13.1,89,0.00,10.1,1,1004.4,22,12.1,0.00
2025-09-02T06:00,12.8,88,0.00,10.8,1,1004.3,40,11.5,0.00
2025-09-02T07:00,13.4,88,0.00,12.3,3,1004.6,100,12.1,0.00
2025-09-02T08:00,14.5,87,0.00,14.2,3,1003.4,100,13.1,0.00
2025-09-02T09:00,16.5,79,0.00,17.0,3,1003.7,100,14.9,0.00
2025-09-02T10:00,17.1,76,0.00,18.7,3,1003.4,100,15.3,0.00
2025-09-02T11:00,17.0,79,0.40,20.0,51,1002.6,100,15.2,0.40
2025-09-02T12:00,17.6,79,0.10,22.7,51,1002.3,100,15.5,0.10
2025-09-02T13:00,17.9,81,1.00,24.3,55,1001.5,100,15.9,1.00
2025-09-02T14:00,18.0,80,2.20,25.3,61,1000.8,100,15.8,2.10
