latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.33,26.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),cloud_cover (%)
2025-10-31T00:00,9.7,85,0.00,10.6,100
2025-10-31T01:00,9.6,84,0.00,11.5,100
2025-10-31T02:00,9.5,85,0.00,12.0,100
2025-10-31T03:00,9.5,85,0.00,9.8,100
2025-10-31T04:00,9.3,86,0.00,11.9,100
2025-10-31T05:00,9.4,87,0.00,10.1,100
2025-10-31T06:00,9.7,85,0.00,9.5,100
2025-10-31T07:00,10.1,84,0.00,13.1,100
2025-10-31T08:00,10.6,83,0.00,12.1,100
2025-10-31T09:00,11.9,77,0.00,12.1,100
2025-10-31T10:00,13.4,72,0.00,9.7,100
2025-10-31T11:00,14.5,71,0.00,11.6,100
2025-10-31T12:00,15.6,69,0.00,13.0,100
2025-10-31T13:00,16.6,67,0.00,13.0,100
2025-10-31T14:00,17.2,66,0.00,13.4,100
2025-10-31T15:00,17.5,64,0.00,15.6,100
2025-10-31T16:00,17.1,66,0.00,15.9,0
2025-10-31T17:00,16.3,70,0.00,14.5,0
2025-10-31T18:00,15.2,73,0.00,11.8,0
2025-10-31T19:00,14.9,76,0.00,12.8,0
2025-10-31T20:00,14.4,79,0.00,15.0,0
2025-10-31T21:00,14.4,77,0.00,16.3,0
2025-10-31T22:00,14.2,80,0.00,16.2,0
2025-10-31T23:00,14.3,80,0.00,15.7,100
2025-11-01T00:00,14.5,77,0.00,15.5,100
2025-11-01T01:00,13.8,80,0.00,13.6,100
2025-11-01T02:00,13.7,82,0.00,12.9,100
2025-11-01T03:00,14.4,80,0.00,17.7,100
2025-11-01T04:00,14.4,83,0.40,17.6,100
2025-11-01T05:00,14.9,83,0.00,15.9,100
2025-11-01T06:00,15.9,79,0.10,15.5,100
2025-11-01T07:00,16.4,78,0.00,16.6,100
2025-11-01T08:00,16.4,79,0.00,13.3,100
2025-11-01T09:00,16.1,81,0.20,14.1,100
2025-11-01T10:00,13.6,77,2.60,17.2,100
2025-11-01T11:00,14.4,69,0.30,9.7,100
2025-11-01T12:00,14.7,79,0.00,14.4,100
2025-11-01T13:00,14.7,76,0.00,16.6,100
2025-11-01T14:00,15.5,69,0.00,20.2,91
2025-11-01T15:00,15.7,69,0.00,16.1,66
2025-11-01T16:00,15.2,72,0.00,15.7,100
2025-11-01T17:00,14.6,76,0.00,12.6,3
2025-11-01T18:00,13.7,80,0.00,12.7,100
2025-11-01T19:00,13.5,80,0.00,12.8,100
2025-11-01T20:00,13.2,84,0.00,13.0,100
2025-11-01T21:00,13.1,83,0.00,15.5,0
2025-11-01T22:00,12.8,83,0.00,15.1,0
2025-11-01T23:00,12.5,84,0.00,15.9,0
2025-11-02T00:00,13.0,81,0.00,17.2,3
2025-11-02T01:00,12.6,79,0.00,13.0,0
2025-11-02T02:00,11.8,84,0.00,11.0,100
2025-11-02T03:00,11.4,88,0.00,10.4,100
2025-11-02T04:00,11.1,88,0.00,11.1,100
2025-11-02T05:00,11.0,88,0.00,14.1,100
2025-11-02T06:00,11.1,87,0.00,9.8,100
2025-11-02T07:00,11.2,89,0.00,13.7,100
2025-11-02T08:00,11.7,87,0.00,15.2,100
2025-11-02T09:00,12.7,77,0.00,15.3,100
2025-11-02T10:00,12.9,77,0.00,17.8,100
2025-11-02T11:00,13.3,73,0.20,21.1,67
2025-11-02T12:00,13.9,66,0.00,23.8,99
2025-11-02T13:00,13.4,71,0.50,23.6,100
2025-11-02T14:00,13.5,58,0.70,21.3,21
2025-11-02T15:00,13.5,65,0.00,18.1,0
2025-11-02T16:00,13.4,60,0.00,17.1,100
2025-11-02T17:00,12.9,63,0.00,12.2,0
2025-11-02T18:00,11.9,67,0.00,15.3,0
2025-11-02T19:00,11.3,70,0.00,11.2,0
2025-11-02T20:00,10.9,73,0.00,10.2,1
2025-11-02T21:00,10.7,71,0.00,12.7,0
2025-11-02T22:00,10.1,76,0.00,10.6,0
2025-11-02T23:00,9.8,80,0.00,10.2,0
2025-11-03T00:00,9.8,86,0.00,9.7,100
2025-11-03T01:00,9.8,89,0.00,8.1,81
2025-11-03T02:00,9.2,89,0.00,7.2,2
2025-11-03T03:00,8.8,88,0.00,4.8,89
2025-11-03T04:00,7.8,92,0.00,6.9,88
2025-11-03T05:00,8.0,93,0.00,6.9,78
2025-11-03T06:00,8.8,93,0.00,10.3,100
2025-11-03T07:00,10.0,92,0.00,7.8,100
2025-11-03T08:00,9.7,97,0.00,10.8,100
2025-11-03T09:00,11.1,93,0.00,8.9,100
2025-11-03T10:00,12.7,83,0.00,15.2,25
2025-11-03T11:00,13.9,79,0.00,18.8,95
2025-11-03T12:00,14.2,83,0.00,15.8,100
2025-11-03T13:00,14.2,84,0.00,16.8,91
2025-11-03T14:00,14.8,81,0.00,15.4,75
2025-11-03T15:00,15.5,73,0.00,18.4,67
2025-11-03T16:00,15.2,78,0.10,12.1,100
2025-11-03T17:00,14.7,78,0.00,14.7,19
2025-11-03T18:00,14.0,81,0.00,12.9,0
2025-11-03T19:00,13.4,83,0.00,11.6,0
2025-11-03T20:00,13.1,86,0.00,12.4,95
2025-11-03T21:00,13.2,83,0.00,14.0,0
2025-11-03T22:00,12.5,87,0.00,11.4,0
2025-11-03T23:00,12.7,87,0.00,12.1,53
2025-11-04T00:00,13.2,88,0.00,13.4,78
2025-11-04T01:00,12.6,87,0.00,9.3,100
2025-11-04T02:00,11.4,90,0.00,8.7,100
2025-11-04T03:00,10.8,91,0.00,8.2,100
2025-11-04T04:00,10.2,91,0.00,9.3,100
2025-11-04T05:00,9.7,91,0.00,9.4,100
2025-11-04T06:00,9.6,88,0.00,8.9,100
2025-11-04T07:00,9.5,88,0.00,9.2,100
2025-11-04T08:00,9.5,89,0.00,11.5,100
2025-11-04T09:00,10.6,82,0.00,12.1,100
2025-11-04T10:00,11.8,76,0.00,11.8,100
2025-11-04T11:00,13.6,70,0.00,10.7,100
2025-11-04T12:00,15.6,62,0.00,11.8,100
2025-11-04T13:00,16.8,55,0.00,12.7,100
2025-11-04T14:00,17.8,51,0.00,12.9,100
2025-11-04T15:00,18.2,52,0.00,12.8,100
2025-11-04T16:00,17.9,57,0.00,13.1,100
2025-11-04T17:00,16.7,67,0.00,11.8,95
2025-11-04T18:00,15.7,71,0.00,11.1,100
2025-11-04T19:00,15.4,69,0.00,12.6,100
2025-11-04T20:00,15.0,67,0.00,12.9,99
2025-11-04T21:00,14.7,65,0.00,13.5,0
2025-11-04T22:00,14.1,69,0.00,15.1,89
2025-11-04T23:00,13.3,73,0.00,12.7,0
2025-11-05T00:00,12.8,73,0.00,11.3,99
2025-11-05T01:00,12.6,75,0.00,10.7,100
2025-11-05T02:00,12.2,77,0.00,9.7,0
2025-11-05T03:00,12.0,76,0.00,10.6,1
2025-11-05T04:00,11.6,73,0.00,10.3,93
2025-11-05T05:00,11.4,70,0.00,10.3,98
2025-11-05T06:00,11.5,72,0.00,10.2,4
2025-11-05T07:00,10.8,72,0.00,10.7,100
2025-11-05T08:00,11.6,65,0.00,11.3,100
2025-11-05T09:00,12.8,61,0.00,13.1,72
2025-11-05T10:00,14.7,54,0.00,13.9,100
2025-11-05T11:00,16.7,49,0.00,12.8,100
2025-11-05T12:00,17.9,47,0.00,8.1,100
2025-11-05T13:00,18.5,49,0.00,11.8,100
2025-11-05T14:00,18.5,52,0.00,13.8,100
2025-11-05T15:00,18.1,53,0.00,15.7,100
2025-11-05T16:00,17.8,59,0.00,16.0,100
2025-11-05T17:00,17.6,58,0.00,14.3,100
2025-11-05T18:00,16.8,62,0.00,11.6,100
2025-11-05T19:00,16.0,65,0.00,14.7,100
2025-11-05T20:00,15.3,69,0.00,16.4,100
2025-11-05T21:00,14.9,69,0.00,10.2,100
2025-11-05T22:00,14.6,71,0.00,11.3,100
2025-11-05T23:00,14.0,77,0.00,9.9,100
2025-11-06T00:00,14.1,78,0.00,11.2,100
2025-11-06T01:00,13.7,78,0.00,9.9,100
2025-11-06T02:00,13.4,78,0.00,10.6,100
2025-11-06T03:00,13.3,77,0.00,7.6,100
2025-11-06T04:00,12.9,78,0.00,9.7,100
2025-11-06T05:00,12.9,77,0.00,9.1,100
2025-11-06T06:00,13.9,74,0.00,7.8,100
2025-11-06T07:00,13.9,75,0.00,7.7,100
2025-11-06T08:00,15.2,72,0.00,7.9,100
2025-11-06T09:00,15.3,77,0.00,7.7,100
2025-11-06T10:00,14.7,80,0.00,10.2,100
2025-11-06T11:00,14.5,86,0.50,4.8,100
2025-11-06T12:00,15.6,88,1.90,13.5,100
2025-11-06T13:00,16.2,85,1.90,8.9,100
2025-11-06T14:00,16.0,83,0.00,6.6,100
2025-11-06T15:00,15.4,86,0.00,6.6,100
2025-11-06T16:00,15.5,83,0.00,7.8,100
2025-11-06T17:00,15.2,83,0.00,8.9,100
2025-11-06T18:00,14.9,85,0.00,7.1,100
2025-11-06T19:00,14.7,84,0.00,8.2,100
2025-11-06T20:00,14.4,85,0.00,6.4,100
2025-11-06T21:00,13.9,88,0.00,7.6,0
2025-11-06T22:00,13.1,90,0.00,7.4,90
2025-11-06T23:00,12.6,90,0.00,6.6,57
2025-11-07T00:00,12.2,91,0.00,8.4,13
2025-11-07T01:00,11.4,93,0.00,8.9,7
2025-11-07T02:00,11.1,93,0.00,8.9,26
2025-11-07T03:00,10.7,93,0.00,9.5,30
2025-11-07T04:00,10.0,94,0.00,6.1,91
2025-11-07T05:00,9.5,96,0.00,8.0,100
2025-11-07T06:00,10.3,92,0.00,9.3,100
2025-11-07T07:00,10.7,91,0.00,6.9,100
2025-11-07T08:00,11.1,91,0.00,7.5,100
2025-11-07T09:00,11.6,90,0.00,11.4,100
2025-11-07T10:00,13.1,88,0.00,11.6,100
2025-11-07T11:00,13.8,84,0.00,11.0,100
2025-11-07T12:00,13.9,84,0.00,10.0,100
2025-11-07T13:00,14.8,78,0.00,8.7,100
2025-11-07T14:00,15.4,73,0.00,11.2,89
2025-11-07T15:00,15.3,73,0.00,13.2,100
2025-11-07T16:00,15.1,75,0.00,10.4,100
2025-11-07T17:00,14.8,75,0.00,10.7,99
2025-11-07T18:00,13.9,80,0.00,9.1,100
2025-11-07T19:00,13.4,82,0.00,9.5,100
2025-11-07T20:00,13.3,83,0.00,8.2,100
2025-11-07T21:00,12.7,86,0.00,8.1,100
2025-11-07T22:00,12.2,88,0.00,7.0,6
2025-11-07T23:00,11.3,89,0.00,6.6,0
2025-11-08T00:00,10.9,90,0.00,6.9,1
2025-11-08T01:00,10.5,92,0.00,7.4,100
2025-11-08T02:00,10.7,92,0.00,5.9,100
2025-11-08T03:00,10.8,92,0.00,5.0,100
2025-11-08T04:00,10.6,93,0.00,5.2,100
2025-11-08T05:00,10.6,94,0.00,6.1,100
2025-11-08T06:00,10.7,93,0.00,5.4,100
2025-11-08T07:00,11.4,90,0.00,4.5,100
2025-11-08T08:00,11.6,89,0.00,3.9,100
2025-11-08T09:00,12.3,86,0.00,2.1,100
2025-11-08T10:00,13.3,83,0.00,2.5,100
2025-11-08T11:00,13.9,82,0.00,2.9,100
2025-11-08T12:00,14.7,79,0.00,1.6,100
2025-11-08T13:00,15.3,77,0.00,4.2,100
2025-11-08T14:00,15.1,79,0.00,7.6,100
2025-11-08T15:00,14.7,80,0.00,8.1,100
2025-11-08T16:00,14.3,83,0.00,8.0,100
2025-11-08T17:00,14.3,82,0.10,7.4,100
2025-11-08T18:00,13.9,86,0.00,6.6,93
2025-11-08T19:00,13.6,87,0.00,6.9,97
2025-11-08T20:00,13.5,87,0.00,8.0,100
2025-11-08T21:00,12.8,90,0.00,8.4,100
2025-11-08T22:00,11.9,91,0.00,7.2,95
2025-11-08T23:00,11.1,92,0.00,5.6,23
2025-11-09T00:00,10.4,97,0.00,5.0,100
2025-11-09T01:00,9.9,97,0.00,4.3,76
2025-11-09T02:00,9.1,98,0.00,4.6,36
2025-11-09T03:00,8.4,99,0.00,3.1,55
2025-11-09T04:00,7.8,99,0.00,3.8,99
2025-11-09T05:00,8.3,95,0.00,4.0,91
2025-11-09T06:00,9.1,86,0.00,6.4,15
2025-11-09T07:00,9.0,84,0.00,6.6,66
2025-11-09T08:00,9.1,83,0.00,5.2,2
2025-11-09T09:00,10.4,78,0.00,4.0,3
