latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.3399997,50.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (km/h),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),weather_code (wmo code),surface_pressure (hPa),apparent_temperature (°C),precipitation_probability (%)
2024-01-01T00:00,7.6,15.8,79,0.10,65,80,1001.5,3.9,NaN
2024-01-01T01:00,7.4,15.3,77,0.00,81,3,1001.1,3.7,NaN
2024-01-01T02:00,7.3,15.0,78,0.00,98,61,1002.3,3.7,NaN
2024-01-01T03:00,7.1,16.8,77,0.00,89,2,1002.3,3.1,NaN
2024-01-01T04:00,7.1,15.8,77,0.00,78,2,1002.5,3.3,NaN
2024-01-01T05:00,7.0,16.5,78,0.00,82,3,1002.6,3.0,NaN
2024-01-01T06:00,6.6,15.1,78,0.00,97,2,1003.5,2.8,NaN
2024-01-01T07:00,6.1,13.9,81,0.00,98,3,1003.5,2.5,NaN
2024-01-01T08:00,6.0,14.1,85,0.00,100,3,1004.5,2.4,NaN
2024-01-01T09:00,6.5,12.5,83,0.00,100,3,1005.5,3.2,NaN
2024-01-01T10:00,7.2,12.3,81,0.00,100,3,1006.0,4.0,NaN
2024-01-01T11:00,7.9,13.8,79,0.00,100,3,1005.7,4.5,NaN
2024-01-01T12:00,9.6,13.5,71,0.00,69,3,1005.5,6.4,NaN
2024-01-01T13:00,9.9,14.0,70,0.00,95,3,1004.7,6.5,NaN
2024-01-01T14:00,10.3,15.3,66,0.00,100,3,1004.6,6.7,NaN
2024-01-01T15:00,10.2,12.4,74,0.00,100,3,1004.0,7.3,NaN
2024-01-01T16:00,9.7,12.2,76,0.00,100,3,1004.0,6.8,NaN
2024-01-01T17:00,9.2,11.3,78,0.00,100,3,1004.2,6.5,NaN
2024-01-01T18:00,9.2,14.6,81,0.00,100,3,1003.4,6.1,NaN
2024-01-01T19:00,9.2,15.8,83,0.00,100,3,1002.9,6.0,NaN
2024-01-01T20:00,9.1,17.1,85,0.30,100,61,1001.5,5.8,NaN
2024-01-01T21:00,9.1,18.0,89,1.20,100,61,1000.5,5.8,NaN
2024-01-01T22:00,9.5,19.1,88,1.50,100,61,999.0,6.1,NaN
2024-01-01T23:00,10.1,20.3,87,1.40,100,61,998.5,6.7,NaN
2024-01-02T00:00,10.4,19.5,87,1.60,100,61,997.3,7.1,NaN
2024-01-02T01:00,10.9,20.8,85,1.90,100,61,996.1,7.4,NaN
2024-01-02T02:00,11.2,22.4,85,1.00,100,61,995.3,7.6,NaN
2024-01-02T03:00,11.4,21.3,86,1.20,100,61,995.1,8.1,NaN
2024-01-02T04:00,11.5,25.3,82,1.00,100,61,994.2,7.4,NaN
2024-01-02T05:00,11.2,23.5,83,0.20,100,61,994.1,7.4,NaN
2024-01-02T06:00,10.7,22.7,85,0.40,100,61,994.0,7.0,NaN
2024-01-02T07:00,10.4,20.0,86,0.20,100,61,993.3,7.0,NaN
2024-01-02T08:00,10.6,20.6,87,0.40,100,61,993.0,7.2,NaN
2024-01-02T09:00,10.5,22.7,87,0.40,100,61,993.0,6.8,NaN
2024-01-02T10:00,10.9,22.9,87,0.90,100,61,992.5,7.2,NaN
2024-01-02T11:00,11.0,22.1,87,1.70,100,61,991.7,7.5,NaN
2024-01-02T12:00,11.1,24.7,87,0.90,100,61,990.3,7.2,NaN
2024-01-02T13:00,11.4,26.4,82,0.10,100,61,989.2,7.2,NaN
2024-01-02T14:00,11.5,25.9,80,0.00,100,3,988.6,7.2,NaN
2024-01-02T15:00,11.5,32.5,82,0.00,100,80,988.3,6.3,NaN
2024-01-02T16:00,11.7,25.3,82,0.10,91,80,988.1,7.7,NaN
2024-01-02T17:00,12.0,20.5,83,0.00,61,2,988.8,8.8,NaN
2024-01-02T18:00,11.9,19.1,84,0.00,87,80,989.5,9.0,NaN
2024-01-02T19:00,11.8,19.7,84,0.20,100,80,989.6,8.7,NaN
2024-01-02T20:00,11.9,18.4,78,0.10,77,80,990.8,8.7,NaN
2024-01-02T21:00,11.6,16.8,78,0.00,96,80,991.6,8.6,NaN
2024-01-02T22:00,11.2,17.8,78,0.00,33,80,991.7,7.9,NaN
2024-01-02T23:00,10.9,18.3,79,0.00,50,2,992.2,7.6,NaN
2024-01-03T00:00,11.2,18.7,78,0.00,64,2,992.3,7.8,NaN
2024-01-03T01:00,11.0,17.9,78,0.00,63,2,992.7,7.7,NaN
2024-01-03T02:00,11.0,17.8,79,0.00,73,2,993.2,7.7,NaN
2024-01-03T03:00,11.2,17.6,81,0.00,72,2,992.2,8.2,NaN
2024-01-03T04:00,11.2,18.3,84,0.20,84,80,992.0,8.1,NaN
2024-01-03T05:00,11.3,18.1,82,0.00,89,2,992.7,8.2,NaN
2024-01-03T06:00,11.3,18.2,81,0.00,60,2,992.6,8.1,NaN
2024-01-03T07:00,11.0,17.8,81,0.00,80,2,993.2,7.8,NaN
2024-01-03T08:00,11.0,18.7,79,0.00,61,2,993.7,7.6,NaN
2024-01-03T09:00,11.2,17.3,81,0.00,69,2,993.6,8.1,NaN
2024-01-03T10:00,11.5,17.4,78,0.00,88,3,993.8,8.4,NaN
2024-01-03T11:00,12.0,20.5,75,0.00,77,3,993.7,8.4,NaN
2024-01-03T12:00,12.5,21.9,74,0.00,62,80,992.5,8.7,NaN
2024-01-03T13:00,11.6,17.6,78,2.50,100,61,992.3,8.5,NaN
2024-01-03T14:00,11.8,20.8,70,0.00,97,80,992.2,7.9,NaN
2024-01-03T15:00,11.1,21.6,75,0.00,100,2,992.3,7.1,NaN
2024-01-03T16:00,10.5,17.4,79,0.00,92,80,992.5,7.2,NaN
2024-01-03T17:00,10.6,18.2,76,0.00,77,3,993.2,7.0,NaN
2024-01-03T18:00,10.3,19.3,78,0.00,100,3,993.9,6.7,NaN
2024-01-03T19:00,10.0,16.7,81,0.70,100,80,994.9,6.8,NaN
2024-01-03T20:00,9.9,16.4,79,0.30,90,80,995.6,6.6,NaN
2024-01-03T21:00,9.7,16.3,81,0.10,75,61,996.6,6.5,NaN
2024-01-03T22:00,9.8,17.2,79,0.00,97,3,997.2,6.3,NaN
2024-01-03T23:00,9.7,19.1,77,0.00,97,3,997.7,5.9,NaN
2024-01-04T00:00,9.7,18.9,76,0.00,82,3,998.7,5.8,NaN
2024-01-04T01:00,9.4,17.5,76,0.00,68,2,999.3,5.7,NaN
2024-01-04T02:00,9.1,16.6,77,0.00,60,2,1000.4,5.5,NaN
2024-01-04T03:00,9.1,16.3,77,0.10,100,80,1000.1,5.5,NaN
2024-01-04T04:00,8.9,14.3,78,0.00,100,3,1001.1,5.6,NaN
2024-01-04T05:00,8.5,12.0,81,0.00,77,3,1001.9,5.6,NaN
2024-01-04T06:00,8.1,11.0,83,0.00,100,3,1002.4,5.3,NaN
2024-01-04T07:00,8.1,12.5,83,0.00,100,3,1002.2,5.1,NaN
2024-01-04T08:00,7.9,10.7,83,0.00,88,3,1003.4,5.1,NaN
2024-01-04T09:00,7.7,10.6,87,0.00,93,2,1003.1,5.1,NaN
2024-01-04T10:00,8.4,11.9,87,0.00,93,3,1003.2,5.7,NaN
2024-01-04T11:00,9.6,15.0,80,0.00,96,3,1002.5,6.5,NaN
2024-01-04T12:00,10.3,10.8,79,0.00,100,3,1001.8,7.9,NaN
2024-01-04T13:00,10.2,16.1,80,0.00,100,3,1000.6,7.1,NaN
2024-01-04T14:00,10.4,11.9,81,0.00,100,3,999.7,8.0,NaN
2024-01-04T15:00,10.8,13.5,83,0.00,100,3,999.2,8.4,NaN
2024-01-04T16:00,10.6,16.4,84,0.00,100,3,997.7,7.7,NaN
2024-01-04T17:00,10.4,19.1,84,0.00,100,3,997.2,7.0,NaN
2024-01-04T18:00,10.8,20.2,84,0.10,100,61,997.2,7.4,NaN
2024-01-04T19:00,10.7,20.4,82,0.10,100,61,996.5,7.2,NaN
2024-01-04T20:00,10.6,17.9,81,0.00,100,3,996.2,7.4,NaN
2024-01-04T21:00,10.8,17.5,79,0.00,60,3,996.2,7.6,NaN
2024-01-04T22:00,10.4,15.0,79,0.00,66,2,995.1,7.4,NaN
2024-01-04T23:00,9.9,13.9,83,0.00,66,2,994.9,7.2,NaN
2024-01-05T00:00,10.0,13.4,79,0.00,100,3,995.4,7.2,NaN
2024-01-05T01:00,9.7,14.6,76,0.00,100,3,995.5,6.5,NaN
2024-01-05T02:00,9.1,13.0,71,0.00,100,3,995.9,5.8,NaN
2024-01-05T03:00,8.8,15.1,69,0.00,100,3,996.1,5.0,NaN
2024-01-05T04:00,8.3,11.6,71,0.00,78,3,995.3,5.0,NaN
2024-01-05T05:00,7.7,11.7,76,0.00,59,2,996.2,4.5,NaN
2024-01-05T06:00,7.2,11.7,80,0.00,88,2,996.3,4.1,NaN
2024-01-05T07:00,7.0,12.0,82,0.00,87,3,996.6,3.8,NaN
2024-01-05T08:00,6.7,13.3,84,0.00,85,3,997.4,3.4,NaN
2024-01-05T09:00,6.6,12.1,83,0.00,18,1,997.6,3.4,NaN
2024-01-05T10:00,7.3,12.7,77,0.00,100,3,998.3,4.0,NaN
2024-01-05T11:00,8.1,14.6,73,0.00,100,3,998.4,4.4,NaN
2024-01-05T12:00,9.1,13.0,67,0.00,84,3,997.8,5.6,NaN
2024-01-05T13:00,9.2,11.7,66,0.00,73,2,997.3,5.9,NaN
2024-01-05T14:00,9.3,11.5,64,0.00,100,3,998.4,5.9,NaN
2024-01-05T15:00,9.4,11.2,69,0.00,93,2,998.8,6.3,NaN
2024-01-05T16:00,8.6,8.7,69,0.00,93,3,998.9,5.7,NaN
2024-01-05T17:00,8.2,7.6,79,0.00,100,3,999.6,5.8,NaN
2024-01-05T18:00,7.2,6.5,82,0.00,42,3,1000.4,4.9,NaN
2024-01-05T19:00,6.6,6.6,85,0.00,6,1,1000.8,4.2,NaN
2024-01-05T20:00,5.8,5.8,87,0.00,0,0,1001.3,3.5,NaN
2024-01-05T21:00,5.4,5.2,91,0.00,5,0,1001.4,3.2,NaN
2024-01-05T22:00,5.0,5.4,91,0.00,0,0,1001.5,2.7,NaN
2024-01-05T23:00,4.6,5.2,92,0.00,58,2,1001.9,2.3,NaN
2024-01-06T00:00,5.0,6.0,92,0.00,81,2,1002.6,2.7,NaN
2024-01-06T01:00,5.1,5.2,91,0.00,100,3,1002.7,2.8,NaN
2024-01-06T02:00,5.1,5.2,91,0.00,94,3,1003.6,2.9,NaN
2024-01-06T03:00,4.6,6.0,91,0.00,99,3,1004.2,2.2,NaN
2024-01-06T04:00,4.7,5.9,91,0.00,98,3,1003.9,2.3,NaN
2024-01-06T05:00,4.7,6.2,92,0.00,92,3,1004.1,2.2,NaN
2024-01-06T06:00,4.6,6.6,95,0.00,100,3,1004.4,2.2,NaN
2024-01-06T07:00,4.3,7.2,94,0.00,100,3,1005.5,1.7,NaN
